address,amount
0x2821f0C8A1D1C59bd51D24Ccc90A5Dcd402d3251, 12500
0xf537c1a2f7906e4e66a2657625278a0cbb599284, 12500
0xf9399223a141450cfCC200e421Aff7849440EF34, 12500
0x0000000a44c521b81b5f14f7a7b77d8b40e7b6c3, 12500
0x0000000D9e7ac498cd37e8B17f88Ac3669c411d7, 12500
0x00000034A9ac3ee7B0a2cb2e5207DCFA1b998347, 12500
0x00000400E7454e92FF0739F1538fC16E5c6Ac89a, 12500
0x00001bd815185c5adc3b58336d4dc36f00e24052, 12500
0x000090d9b68ffb22d7314c66cba25fafd0d31f3e, 12500
0x0000A3c34b01c69d0f16e12A0b4fF9cCbC22DA99, 12500
0x0000c313FD83e019E6a359b613171Cd80B7f9985, 12500
0x0001E71aD008e78C2A1bcd451585022df2b8cb86, 12500
0x000258A3ad593F4e57026B74078791ab72241041, 12500
0x00038b01C19b139711548C01698AFD7D988596B2, 12500
0x0005B0E9289De250bA8C069712c2D0972b85534E, 12500
0x00086814d2761037075c270b4e43710da63139c5, 12500
0x0008f0bf9d96bc7e4F34308684020DdC838c83D8, 12500
0x0009d506a45a89485de6e1AA9D633A5C1d70065a, 12500
0x000a048B21B088E86811d1f71eEa3821f086FA2A, 12500
0x000A83cAD9f40165229806271e3790Bd819276Ec, 12500
0x000B423A17DE9B2c79564e7232c04F85e3C10AEa, 12500
0x000C3e39a5BB0cF808B4f4125b57897B307C746A, 12500
0x000ce882c1093D68F51d357F67d072C5a10C9175, 12500
0x00108353109adafad31e13dc8a56adc33b6f9247, 12500
0x0012d1353e34570a8cb7240E4b362C6aFE3ce7D3, 12500
0x001aaae4517bc01d057b772f6105b53276734518, 12500
0x001b5A84089521E3657d12f18454b2852106FBAE, 12500
0x001EE91DF5875DCffB2dD6ca1a9e80305538aC6b, 12500
0x0030397d86981dba04387290bd6ea3d571174c9a, 12500
0x003102d77074Ff653053d2498109Dd4EA8EE2879, 12500
0x00353a116721Cb27775F2F01c86f5a461192f7C1, 12500
0x0035b8719b81a7E14Df7b1F1A4332802C6a5fAc0, 12500
0x00372B51fe713Fe071D2ded7a98f1F49a7C5C247, 12500
0x00385d9741b273289d96ec5A3Ecf89699dAEFA8d, 12500
0x004400bb562a5e3fe911889a7e357a8c96f556d7, 12500
0x0048fe68ca78E077848D32Bd7DB30ae1F0a61F25, 12500
0x004c55cc58d9945ded911daf16e6ef7e6975b16e, 12500
0x0054bef85309A39ced2096cF93aDb9b38738DB22, 12500
0x0055b6CdDb80096757b70ACa582389E5E6d67957, 12500
0x00594ac1b97846ed1a70e9eb8f108c8dd5c93d94, 12500
0x006372f9d134102E2A9dE8840D58f2FDe6cE438A, 12500
0x00709411989f4e1a7f9fa7b3185730bb3ea8f48c, 12500
0x00801F9d1cFb67EDDe521ebfCE807bc6e0d46975, 12500
0x00975fB146707F38740b5211885f97B0ef37bedD, 12500
0x00998919ef30e03e94f576807dec333b7ef94f11, 12500
0x00A3C8788507113b84f2b6F1BC694B9E7AfE6409, 12500
0x00b3ba1a64afca71cbf9cfcffa1c8947eccd2eda, 12500
0x00b4f28611fc7604655dd93b80bdd413f1d7f63e, 12500
0x00BB6093515afA11Bb51836723a70cbC96479638, 12500
0x00bD6F5F8AeF0c79eBbEF3AbC35a1d5AA0B9C250, 12500
0x00c97CD6FdF5aeDd1f397Fb7D0b9510D91660b00, 12500
0x00CB77dADbC9E4111dBd1E6D77C68EEFC0414c6E, 12500
0x00ccddf0f90609d8d50832408fb2f2e6f59acf18, 12500
0x00Cf9e7eBf833df2c962047AcbEEdaAe2F6a3d28, 12500
0x00d80668f143B9A79D15C1b174740ada8DbD485B, 12500
0x00da95bedb4f1b99cd9b010d72a43c1ec26ad010, 12500
0x00de8daEF64446e0d9425a46Dd5eC9C1c9a0020b, 12500
0x00deA678142EBbc14b38F1F97742df1Aa9060fE3, 12500
0x00E613287C0698D1EaB48583AeDECf25B259a7f5, 12500
0x00e7a1181a32d03bb17f34f2903fd86a4370027b, 12500
0x00ea9BFFD05f288a90fdfa703c4605b6Ca56494F, 12500
0x00f9D53170cE28Aa9D11f01e3836030F82B785da, 12500
0x00fb34f3628ebba38bbed5b64b6142fe96707d24, 12500
0x00FcD69431A0F746Ee3eCf1Fd026EDE9D6DA6Bc3, 12500
0x0105405DEc4fA0eA5FAB3ccB35b7f669AE5d0286, 12500
0x010F3b996880d9689E0eba5C1792D9a4C750a0eE, 12500
0x011582408Bc99905B25F8f49E8Da9773d7399a69, 12500
0x0116dbDdBC91c306102cDC4b1780a35323a18944, 12500
0x0118f895e15cdf5256355ef6ab23e861b81f373f, 12500
0x012113d558efc2a7bc966b914edfed3a19bd62b9, 12500
0x01231669E6A77b7e5805d7dc5e2fc4E8cA57BA32, 12500
0x012EE4E949B219DfB8187F243663c9812FcBA373, 12500
0x0132596a665B667163D64687D3D5BA039BeebA1E, 12500
0x01421FCF812258e3e53799e24b12d42caF45D91d, 12500
0x014482b7b59d1ee377df03ade171f02fc6ec45db, 12500
0x014800423ADeCf7D220B2425192d423fAC72405B, 12500
0x0149baDE6Cf3A105f18a266D0fB61a5AB0F0f1bA, 12500
0x014C875751cD0887Fd33C02cdA4b579ce4d38E16, 12500
0x01537d9F7434B5985D553786C944d1d710049334, 12500
0x015d91f373aa649351589959b658ac14d73198b4, 12500
0x0166aaab91bf976d8654e62dc68fe83522b60204, 12500
0x016bcdd9e6421c815a7c4cca023bf90c4c38ab65, 12500
0x019335Fd93d274C4F9e5cA39185Db1820a83C59a, 12500
0x0199Ee53A3E96a85bD620D4CF17dc72df135D549, 12500
0x01AC259497599DeFEF136083d4711a794ECFd61D, 12500
0x01b6bc94399c0a78a898d220d682c1bd17fdbb4f, 12500
0x01b87e4d0892059f7575cccba98abb0ac9f7ebbc, 12500
0x01be3d3e6c0ffe8ed45107813b3981f7827a335c, 12500
0x01Bf7fa24D2d006C74b767b8Dca7523847ad5c4B, 12500
0x01C4Bf92DedA45605f6407BF6dDB11A5Dc7146Ab, 12500
0x01C590C5d9fB900095d7fA6d493d4c432747609b, 12500
0x01C9b34E0fA61d9249e344Cfe290Cae8c02715C6, 12500
0x01D623cE2160a1DD319A9907b1C4685898786049, 12500
0x01Ddb7660322FE72B9e014166ef1A67F33ca8fC8, 12500
0x01e8c08bA784413b78641b31B8FfFBf768D24041, 12500
0x01f0633c3F48bDe988ef8C78C337647C1470765e, 12500
0x01F1B6d9ee3884F5571C8d594D57D8Dc165D1Df8, 12500
0x01F207eA0CCdd8A012C42e5C3408838FEc52B388, 12500
0x01fB5EAaF5c81F43c57434b4F10b5CB0b3a39381, 12500
0x022789E3eC10329B8Fe5B56b42905FebcdF4B5aa, 12500
0x022B12E6b00DDfEd1Ea8bA3757881C2D1b8FAf8B, 12500
0x023972547b9f2106c4c43819a827eb09420bb73a, 12500
0x0246057a279e47Abe2aC85F3c9903496Ef905595, 12500
0x0246Fb1657CA636b1884D44E03c09536d3a56f40, 12500
0x024914AEd2A6D014263002B08E42E650Eaa42A85, 12500
0x0254A6BBD4b9D357154E8124869f050A58016277, 12500
0x026137023af8b5796b6aD1c332712bf8Fb5a5798, 12500
0x026cd0aaed19cf1d2097acc823569f67250974a8, 12500
0x026fa2857968ab855839ef50c2664ae43a9c7bd8, 12500
0x027127731e266541cc2a79e476feda854ec22039, 12500
0x0274b7237d15bC7133311550FA1Fa64D10fdec89, 12500
0x027D6b09C1464d4C00c22d3C6B085f0Fc95624C3, 12500
0x028caF0F85C909E5911004cf2594f51059e30827, 12500
0x0293522209c812621EEB157BDD23d70918005E27, 12500
0x029dfb6143486dcf3f194bc83a37f42154bcdef0, 12500
0x02A4b23211DA35Ec2a315F1E59E82f8147b94006, 12500
0x02a5c26c97c68dCd3A71550de891b09bC35A2aa0, 12500
0x02a852fAd2990Af75B4834273815082C83D84b0a, 12500
0x02c53F83E3642e22dD6b84Bc006412e8cBc78d5c, 12500
0x02c5b58be84102962da576b7c98772a15a5e990e, 12500
0x02dbe2aCDF12Dc3eaBcc2235a924e57F7fC1772C, 12500
0x02e01839D7F6C01dD3659E82fF5570E0d4d03cfF, 12500
